,Agency,Agency Type,Distribution Channel,Product Name,Net Sales,Commision (in value),category_age,category_duration,Continent,Claim
30149,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,49.5,29.7,1,2,4,0
31006,JZI,Airlines,Online,Basic Plan,18.0,6.3,2,1,1,0
4680,C2B,Airlines,Online,Bronze Plan,60.0,15.0,1,1,1,0
25285,LWC,Travel Agency,Online,Single Trip Travel Protect Silver,26.5,17.23,2,1,1,0
10081,EPX,Travel Agency,Online,Cancellation Plan,22.0,0.0,2,4,1,0
19207,JZI,Airlines,Online,Basic Plan,35.0,12.25,1,2,1,0
39111,EPX,Travel Agency,Online,1 way Comprehensive Plan,20.0,0.0,2,1,1,0
36225,EPX,Travel Agency,Online,Cancellation Plan,27.0,0.0,2,2,1,0
18912,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,39.6,23.76,2,3,4,0
38016,EPX,Travel Agency,Online,1 way Comprehensive Plan,24.0,0.0,2,0,1,0
34918,JZI,Airlines,Online,Value Plan,-121.0,42.35,3,4,3,0
31011,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,118.8,71.28,2,4,4,0
8156,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,29.7,17.82,2,3,2,0
21801,EPX,Travel Agency,Online,Cancellation Plan,11.0,0.0,2,2,1,0
9114,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,49.5,29.7,2,4,4,0
763,JZI,Airlines,Online,Basic Plan,18.0,6.3,3,0,1,0
36428,JZI,Airlines,Online,Basic Plan,22.0,7.7,3,0,1,0
25792,EPX,Travel Agency,Online,2 way Comprehensive Plan,20.0,0.0,1,0,1,0
30433,LWC,Travel Agency,Online,Single Trip Travel Protect Platinum,26.0,16.9,1,1,1,0
26388,C2B,Airlines,Online,Bronze Plan,17.0,4.25,1,1,1,0
36227,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0.0,41.58,2,4,4,0
24341,EPX,Travel Agency,Online,2 way Comprehensive Plan,20.0,0.0,2,6,1,0
36779,EPX,Travel Agency,Online,2 way Comprehensive Plan,32.0,0.0,2,6,1,0
34169,EPX,Travel Agency,Online,Cancellation Plan,15.0,0.0,2,1,1,0
25420,RAB,Airlines,Online,Value Plan,23.0,9.2,4,6,1,0
20807,JZI,Airlines,Online,Basic Plan,30.0,10.5,2,5,1,0
19457,C2B,Airlines,Online,Silver Plan,53.95,13.49,1,0,1,0
21224,C2B,Airlines,Online,Silver Plan,62.0,15.5,3,1,1,0
13166,EPX,Travel Agency,Online,Cancellation Plan,49.0,0.0,2,4,1,0
17990,EPX,Travel Agency,Online,2 way Comprehensive Plan,26.0,0.0,2,2,1,0
26129,JZI,Airlines,Online,Basic Plan,26.0,9.1,3,1,1,0
25731,EPX,Travel Agency,Online,1 way Comprehensive Plan,20.0,0.0,2,5,1,0
7170,EPX,Travel Agency,Online,Cancellation Plan,15.0,0.0,2,1,1,0
29694,C2B,Airlines,Online,Bronze Plan,17.0,4.25,2,5,1,0
37253,EPX,Travel Agency,Online,2 way Comprehensive Plan,22.0,0.0,2,5,1,0
24906,EPX,Travel Agency,Online,2 way Comprehensive Plan,36.0,0.0,2,2,1,0
9807,JZI,Airlines,Online,Basic Plan,35.0,12.25,3,1,1,0
28939,JZI,Airlines,Online,Basic Plan,22.0,7.7,1,0,1,0
21683,EPX,Travel Agency,Online,Cancellation Plan,12.0,0.0,2,1,1,0
23264,EPX,Travel Agency,Online,Cancellation Plan,80.0,0.0,2,6,4,0
18378,EPX,Travel Agency,Online,Cancellation Plan,18.0,0.0,2,6,2,0
16316,EPX,Travel Agency,Online,Cancellation Plan,59.0,0.0,2,0,1,0
27605,EPX,Travel Agency,Online,2 way Comprehensive Plan,20.0,0.0,2,1,1,0
26091,EPX,Travel Agency,Online,2 way Comprehensive Plan,119.0,0.0,2,6,2,0
24924,C2B,Airlines,Online,Silver Plan,24.5,6.13,1,2,1,0
5216,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,168.3,100.98,2,5,4,0
8854,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,108.9,65.34,2,6,2,0
24891,EPX,Travel Agency,Online,2 way Comprehensive Plan,22.0,0.0,2,6,1,0
15145,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,19.8,11.88,2,1,1,0
17789,EPX,Travel Agency,Online,2 way Comprehensive Plan,20.0,0.0,2,6,1,0
33772,EPX,Travel Agency,Online,Cancellation Plan,14.0,0.0,2,1,3,0
5589,EPX,Travel Agency,Online,2 way Comprehensive Plan,21.0,0.0,2,1,1,0
16187,EPX,Travel Agency,Online,2 way Comprehensive Plan,33.0,0.0,1,3,3,0
3794,EPX,Travel Agency,Online,Cancellation Plan,18.0,0.0,2,5,2,0
21580,EPX,Travel Agency,Online,Cancellation Plan,80.0,0.0,1,5,3,0
33677,SSI,Airlines,Online,Ticket Protector,10.04,2.81,2,6,1,0
24751,EPX,Travel Agency,Online,Cancellation Plan,45.0,0.0,2,6,0,0
36743,EPX,Travel Agency,Online,Cancellation Plan,25.0,0.0,4,2,3,0
3605,JZI,Airlines,Online,Basic Plan,22.0,7.7,4,1,1,0
33614,EPX,Travel Agency,Online,Cancellation Plan,10.0,0.0,1,4,1,0
28291,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,138.6,83.16,2,2,2,1
17426,EPX,Travel Agency,Online,Cancellation Plan,10.0,0.0,2,3,1,0
20322,EPX,Travel Agency,Online,2 way Comprehensive Plan,21.0,0.0,2,6,1,0
27328,EPX,Travel Agency,Online,Cancellation Plan,10.0,0.0,3,2,1,0
26720,JZI,Airlines,Online,Basic Plan,18.0,6.3,3,0,1,0
10321,C2B,Airlines,Online,Bronze Plan,0.0,73.25,4,6,1,0
15867,C2B,Airlines,Online,Bronze Plan,57.85,14.46,2,3,1,0
4601,RAB,Airlines,Online,Value Plan,15.0,6.0,4,1,1,1
35816,EPX,Travel Agency,Online,Cancellation Plan,63.0,0.0,2,2,1,0
26355,SSI,Airlines,Online,Ticket Protector,4.22,1.18,2,5,1,0
21489,C2B,Airlines,Online,Annual Silver Plan,0.0,54.0,2,6,1,0
30755,EPX,Travel Agency,Online,2 way Comprehensive Plan,22.0,0.0,3,1,1,0
7105,EPX,Travel Agency,Online,Cancellation Plan,40.0,0.0,2,6,1,0
9288,JZI,Airlines,Online,Value Plan,36.0,12.6,3,0,1,0
38027,TTW,Travel Agency,Offline,Individual Comprehensive Plan,97.0,0.0,2,6,1,0
10850,JZI,Airlines,Online,Basic Plan,22.0,7.7,2,0,1,0
24961,EPX,Travel Agency,Online,Cancellation Plan,46.0,0.0,2,1,1,0
12112,EPX,Travel Agency,Online,Cancellation Plan,10.0,0.0,2,2,1,0
27520,EPX,Travel Agency,Online,2 way Comprehensive Plan,32.0,0.0,2,1,1,0
9257,EPX,Travel Agency,Online,Cancellation Plan,20.0,0.0,2,3,1,0
1650,C2B,Airlines,Online,Annual Silver Plan,216.0,54.0,3,6,1,0
22078,EPX,Travel Agency,Online,Cancellation Plan,14.0,0.0,2,2,1,0
23244,EPX,Travel Agency,Online,Cancellation Plan,20.0,0.0,2,1,1,0
37551,C2B,Airlines,Online,Annual Silver Plan,252.85,63.21,1,6,1,0
30429,ADM,Travel Agency,Online,Premier Plan,86.0,32.68,1,1,2,0
9115,EPX,Travel Agency,Online,Cancellation Plan,19.0,0.0,2,3,1,0
31279,C2B,Airlines,Online,Annual Gold Plan,389.35,97.34,2,6,1,0
35153,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,9.9,5.94,2,6,2,0
24707,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,-29.7,17.82,2,6,1,0
20210,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,69.3,41.58,2,4,4,0
5843,EPX,Travel Agency,Online,2 way Comprehensive Plan,94.0,0.0,2,6,2,0
35982,C2B,Airlines,Online,Bronze Plan,17.55,4.39,1,0,1,0
7107,RAB,Airlines,Online,Value Plan,15.0,6.0,3,0,1,0
23604,EPX,Travel Agency,Online,Cancellation Plan,53.0,0.0,1,6,2,0
33212,EPX,Travel Agency,Online,Cancellation Plan,21.0,0.0,3,1,3,0
3074,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,79.2,47.52,2,4,4,0
29832,EPX,Travel Agency,Online,Cancellation Plan,26.0,0.0,2,1,1,0
24533,C2B,Airlines,Online,Silver Plan,22.5,5.63,2,0,1,1
24178,EPX,Travel Agency,Online,Cancellation Plan,11.0,0.0,1,5,1,0
7631,EPX,Travel Agency,Online,2 way Comprehensive Plan,0.0,0.0,2,6,2,0
23659,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,29.7,17.82,2,0,1,0
16821,EPX,Travel Agency,Online,Cancellation Plan,10.0,0.0,2,2,1,0
36151,EPX,Travel Agency,Online,2 way Comprehensive Plan,20.0,0.0,1,3,1,0
20532,EPX,Travel Agency,Online,1 way Comprehensive Plan,27.0,0.0,2,4,1,0
14930,EPX,Travel Agency,Online,2 way Comprehensive Plan,32.0,0.0,2,1,1,0
19188,EPX,Travel Agency,Online,1 way Comprehensive Plan,27.0,0.0,2,0,1,0
28107,EPX,Travel Agency,Online,2 way Comprehensive Plan,23.0,0.0,2,5,1,0
31303,EPX,Travel Agency,Online,1 way Comprehensive Plan,20.0,0.0,2,2,1,0
24605,EPX,Travel Agency,Online,Cancellation Plan,11.0,0.0,2,6,1,0
2742,EPX,Travel Agency,Online,Cancellation Plan,23.0,0.0,2,3,1,0
19692,C2B,Airlines,Online,Annual Silver Plan,259.2,64.8,3,6,1,0
15998,EPX,Travel Agency,Online,Cancellation Plan,58.0,0.0,2,5,2,0
14604,EPX,Travel Agency,Online,2 way Comprehensive Plan,24.0,0.0,2,4,1,0
28809,EPX,Travel Agency,Online,2 way Comprehensive Plan,20.0,0.0,3,1,1,0
15139,EPX,Travel Agency,Online,Cancellation Plan,80.0,0.0,2,4,4,0
10576,EPX,Travel Agency,Online,Cancellation Plan,13.0,0.0,1,1,1,0
2386,EPX,Travel Agency,Online,Cancellation Plan,17.0,0.0,2,0,1,0
26367,C2B,Airlines,Online,Annual Silver Plan,252.85,63.21,1,6,1,0
17937,EPX,Travel Agency,Online,Cancellation Plan,11.0,0.0,2,6,2,0
32710,C2B,Airlines,Online,Bronze Plan,23.0,5.75,1,4,1,0
30036,JZI,Airlines,Online,Basic Plan,40.0,14.0,1,4,1,0
37980,C2B,Airlines,Online,Bronze Plan,16.0,4.0,3,1,1,0
33717,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,59.4,35.64,3,6,1,0
21268,EPX,Travel Agency,Online,2 way Comprehensive Plan,43.0,0.0,2,1,1,0
25578,EPX,Travel Agency,Online,Cancellation Plan,21.0,0.0,2,0,1,0
36360,EPX,Travel Agency,Online,2 way Comprehensive Plan,20.0,0.0,2,5,1,0
20773,EPX,Travel Agency,Online,Cancellation Plan,18.0,0.0,1,4,1,0
34008,JZI,Airlines,Online,Value Plan,58.0,20.3,2,2,1,0
4588,EPX,Travel Agency,Online,Cancellation Plan,10.0,0.0,2,3,1,0
33655,EPX,Travel Agency,Online,Cancellation Plan,73.0,0.0,2,4,1,0
30817,EPX,Travel Agency,Online,2 way Comprehensive Plan,36.0,0.0,2,6,1,0
18771,EPX,Travel Agency,Online,Cancellation Plan,14.0,0.0,2,6,1,0
61,EPX,Travel Agency,Online,2 way Comprehensive Plan,98.0,0.0,2,4,1,0
36192,EPX,Travel Agency,Online,Cancellation Plan,23.0,0.0,2,6,1,0
22293,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,108.9,65.34,3,1,2,0
37755,EPX,Travel Agency,Online,Cancellation Plan,47.0,0.0,2,2,4,0
38447,EPX,Travel Agency,Online,2 way Comprehensive Plan,20.0,0.0,2,2,1,0
34985,C2B,Airlines,Online,Bronze Plan,72.0,18.0,1,5,1,0
22508,C2B,Airlines,Online,Bronze Plan,17.55,4.39,1,0,1,0
17701,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,29.7,17.82,2,2,1,0
35769,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,49.5,29.7,2,2,1,0
5854,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0.0,71.28,2,4,2,0
14463,LWC,Travel Agency,Online,Annual Travel Protect Silver,165.0,107.25,2,6,1,0
5077,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,69.3,41.58,2,2,3,0
18649,EPX,Travel Agency,Online,2 way Comprehensive Plan,34.0,0.0,2,5,1,0
38157,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,29.7,17.82,2,2,1,0
23176,EPX,Travel Agency,Online,Cancellation Plan,26.0,0.0,2,4,1,0
5004,EPX,Travel Agency,Online,Cancellation Plan,27.0,0.0,2,4,1,0
20320,RAB,Airlines,Online,Value Plan,31.0,12.4,2,6,1,0
32938,C2B,Airlines,Online,Silver Plan,47.5,11.88,2,1,1,0
25213,ADM,Travel Agency,Online,Premier Plan,111.0,42.18,1,6,0,0
3707,EPX,Travel Agency,Online,Cancellation Plan,11.0,0.0,2,5,1,0
5122,EPX,Travel Agency,Online,Cancellation Plan,17.0,0.0,2,0,1,0
15977,EPX,Travel Agency,Online,Cancellation Plan,10.0,0.0,2,3,3,0
18267,EPX,Travel Agency,Online,2 way Comprehensive Plan,24.0,0.0,2,4,1,0
2818,EPX,Travel Agency,Online,2 way Comprehensive Plan,74.0,0.0,2,6,2,0
34411,EPX,Travel Agency,Online,Cancellation Plan,39.0,0.0,2,4,1,0
2690,EPX,Travel Agency,Online,Cancellation Plan,10.0,0.0,1,3,1,0
32973,EPX,Travel Agency,Online,Cancellation Plan,38.0,0.0,2,1,1,0
19472,EPX,Travel Agency,Online,1 way Comprehensive Plan,20.0,0.0,2,1,1,0
35946,JZI,Airlines,Online,Basic Plan,26.0,9.1,3,4,1,0
