,Agency,Agency Type,Distribution Channel,Product Name,Duration,Destination,Net Sales,Commision (in value),Age,Claim
0,C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,216.0,54.0,57,No
1,EPX,Travel Agency,Online,Cancellation Plan,4,MALAYSIA,10.0,0.0,33,No
2,JZI,Airlines,Online,Basic Plan,19,INDIA,22.0,7.7,26,No
3,EPX,Travel Agency,Online,2 way Comprehensive Plan,20,UNITED STATES,112.0,0.0,59,No
4,C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,16.0,4.0,28,No
5,EPX,Travel Agency,Online,Cancellation Plan,2,SINGAPORE,10.0,0.0,36,No
6,EPX,Travel Agency,Online,1 way Comprehensive Plan,25,"KOREA, REPUBLIC OF",50.0,0.0,36,No
7,EPX,Travel Agency,Online,Cancellation Plan,90,SINGAPORE,78.0,0.0,22,No
8,JZI,Airlines,Online,Basic Plan,4,THAILAND,22.0,7.7,39,No
9,EPX,Travel Agency,Online,Cancellation Plan,24,GERMANY,80.0,0.0,36,No
10,EPX,Travel Agency,Online,2 way Comprehensive Plan,43,JAPAN,40.0,0.0,28,No
11,C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,216.0,54.0,27,No
12,JZI,Airlines,Online,Basic Plan,103,"KOREA, REPUBLIC OF",26.0,9.1,48,No
13,C2B,Airlines,Online,Annual Silver Plan,376,SINGAPORE,252.85,63.21,43,Yes
14,EPX,Travel Agency,Online,Cancellation Plan,6,SINGAPORE,10.0,0.0,43,No
15,EPX,Travel Agency,Online,2 way Comprehensive Plan,16,INDONESIA,47.0,0.0,36,No
16,EPX,Travel Agency,Online,1 way Comprehensive Plan,8,JAPAN,25.0,0.0,27,No
17,EPX,Travel Agency,Online,Cancellation Plan,27,SINGAPORE,10.0,0.0,51,No
18,EPX,Travel Agency,Online,1 way Comprehensive Plan,34,THAILAND,23.0,0.0,36,No
19,EPX,Travel Agency,Online,2 way Comprehensive Plan,3,MALAYSIA,20.0,0.0,65,No
20,EPX,Travel Agency,Online,Cancellation Plan,14,MALAYSIA,10.0,0.0,47,No
21,JZI,Airlines,Online,Basic Plan,12,VIET NAM,30.0,10.5,35,Yes
22,EPX,Travel Agency,Online,Cancellation Plan,31,UNITED STATES,80.0,0.0,54,No
23,EPX,Travel Agency,Online,2 way Comprehensive Plan,43,AUSTRALIA,42.0,0.0,36,No
24,EPX,Travel Agency,Online,Cancellation Plan,5,MALAYSIA,10.0,0.0,23,No
25,EPX,Travel Agency,Online,2 way Comprehensive Plan,7,THAILAND,56.0,0.0,46,No
26,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,56,UNITED STATES,19.8,11.88,33,No
27,EPX,Travel Agency,Online,Cancellation Plan,29,INDIA,14.0,0.0,36,No
28,C2B,Airlines,Online,Bronze Plan,30,SINGAPORE,16.0,4.0,58,Yes
29,JZI,Airlines,Online,Basic Plan,8,THAILAND,30.0,10.5,42,No
30,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,58,FINLAND,29.7,17.82,31,No
31,EPX,Travel Agency,Online,Cancellation Plan,19,UNITED KINGDOM,10.0,0.0,36,No
32,LWC,Travel Agency,Online,Single Trip Travel Protect Gold,9,SRI LANKA,36.0,23.4,29,No
33,C2B,Airlines,Online,Silver Plan,2,SINGAPORE,30.0,7.5,37,No
34,EPX,Travel Agency,Online,Cancellation Plan,24,THAILAND,31.0,0.0,36,No
35,EPX,Travel Agency,Online,Cancellation Plan,38,AUSTRALIA,58.0,0.0,36,No
36,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,12,SPAIN,9.9,5.94,26,No
37,EPX,Travel Agency,Online,Cancellation Plan,4,SINGAPORE,15.0,0.0,68,No
38,EPX,Travel Agency,Online,Cancellation Plan,42,HONG KONG,21.0,0.0,36,No
39,EPX,Travel Agency,Online,Cancellation Plan,11,MALAYSIA,29.0,0.0,36,No
40,EPX,Travel Agency,Online,2 way Comprehensive Plan,2,MACAO,32.0,0.0,35,No
41,JZI,Airlines,Online,Value Plan,30,UNITED KINGDOM,125.0,43.75,43,No
42,EPX,Travel Agency,Online,2 way Comprehensive Plan,8,CHINA,48.0,0.0,36,No
43,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,13,MALAYSIA,29.7,17.82,27,No
44,EPX,Travel Agency,Online,Cancellation Plan,34,SRI LANKA,20.0,0.0,36,No
45,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,24,UNITED ARAB EMIRATES,0.0,23.76,27,No
46,ART,Airlines,Online,24 Protect,3,"IRAN, ISLAMIC REPUBLIC OF",21.04,7.36,48,No
47,EPX,Travel Agency,Online,2 way Comprehensive Plan,40,"TAIWAN, PROVINCE OF CHINA",33.0,0.0,36,No
48,JZI,Airlines,Online,Basic Plan,5,CHINA,26.0,9.1,29,No
49,EPX,Travel Agency,Online,2 way Comprehensive Plan,79,INDONESIA,23.0,0.0,39,No
50,LWC,Travel Agency,Online,Annual Travel Protect Gold,370,CHINA,204.6,132.99,39,Yes
51,CSR,Travel Agency,Offline,Comprehensive Plan,43,MALAYSIA,29.0,9.57,8,No
52,EPX,Travel Agency,Online,Cancellation Plan,25,POLAND,34.0,0.0,36,No
53,C2B,Airlines,Online,Annual Silver Plan,366,SINGAPORE,216.0,54.0,37,No
54,C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,30.55,7.64,22,No
55,EPX,Travel Agency,Online,Cancellation Plan,30,INDIA,10.0,0.0,32,No
56,JZI,Airlines,Online,Basic Plan,26,CHINA,35.0,12.25,27,No
57,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,6,AUSTRALIA,49.5,29.7,35,No
