,Agency,Agency Type,Distribution Channel,Product Name,Duration,Destination,Net Sales,Commision (in value),Age,Claim
35258,EPX,Travel Agency,Online,2 way Comprehensive Plan,24,THAILAND,22.0,0.0,21,No
6404,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,10,AUSTRALIA,29.7,17.82,60,No
18451,LWC,Travel Agency,Online,Single Trip Travel Protect Silver,10,INDONESIA,25.0,16.25,44,No
37677,EPX,Travel Agency,Online,2 way Comprehensive Plan,25,CAMBODIA,63.0,0.0,36,No
22585,C2B,Airlines,Online,Annual Silver Plan,369,SINGAPORE,301.0,75.25,37,Yes
16224,EPX,Travel Agency,Online,Cancellation Plan,46,CHINA,19.0,0.0,36,No
30384,EPX,Travel Agency,Online,Cancellation Plan,9,INDONESIA,12.0,0.0,36,No
17850,C2B,Airlines,Online,Annual Silver Plan,397,SINGAPORE,252.85,63.21,24,No
11488,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,40,GREECE,69.3,41.58,50,No
17,EPX,Travel Agency,Online,Cancellation Plan,27,SINGAPORE,10.0,0.0,51,No
15170,JZI,Airlines,Online,Basic Plan,21,HONG KONG,26.0,9.1,50,No
27424,C2B,Airlines,Online,Silver Plan,12,SINGAPORE,62.0,15.5,40,No
1677,EPX,Travel Agency,Online,Cancellation Plan,8,THAILAND,19.0,0.0,36,No
4978,JZI,Airlines,Online,Basic Plan,43,UNITED ARAB EMIRATES,49.0,17.15,27,No
2214,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,2,MALAYSIA,19.8,11.88,26,No
29064,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,45,GREECE,69.3,41.58,51,No
33672,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,113,JAPAN,69.3,41.58,53,No
8325,EPX,Travel Agency,Online,2 way Comprehensive Plan,7,HONG KONG,24.0,0.0,36,No
21030,EPX,Travel Agency,Online,2 way Comprehensive Plan,23,UNITED STATES,112.0,0.0,59,No
15999,EPX,Travel Agency,Online,Cancellation Plan,28,CHINA,19.0,0.0,36,No
38147,JZI,Airlines,Online,Basic Plan,11,INDONESIA,18.0,6.3,32,No
5260,C2B,Airlines,Online,Annual Silver Plan,388,SINGAPORE,260.63,65.16,30,No
13632,EPX,Travel Agency,Online,Cancellation Plan,11,UNITED STATES,22.0,0.0,41,No
4210,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,63,UNITED STATES,29.7,17.82,32,No
27404,EPX,Travel Agency,Online,2 way Comprehensive Plan,40,SINGAPORE,33.0,0.0,36,No
22367,EPX,Travel Agency,Online,Cancellation Plan,24,CHINA,40.0,0.0,36,No
13353,EPX,Travel Agency,Online,Cancellation Plan,28,INDIA,10.0,0.0,29,No
38033,EPX,Travel Agency,Online,Cancellation Plan,246,IRELAND,60.0,0.0,36,No
24403,EPX,Travel Agency,Online,1 way Comprehensive Plan,29,SINGAPORE,20.0,0.0,36,No
26238,EPX,Travel Agency,Online,2 way Comprehensive Plan,62,THAILAND,23.0,0.0,36,No
17707,EPX,Travel Agency,Online,2 way Comprehensive Plan,95,CHINA,20.0,0.0,36,Yes
6597,JZI,Airlines,Online,Basic Plan,22,INDONESIA,18.0,6.3,27,No
35460,EPX,Travel Agency,Online,Cancellation Plan,29,SINGAPORE,11.0,0.0,36,No
26992,EPX,Travel Agency,Online,Cancellation Plan,23,UNITED STATES,16.0,0.0,58,No
24339,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,21,AUSTRALIA,59.4,35.64,50,Yes
6491,EPX,Travel Agency,Online,Cancellation Plan,72,UNITED KINGDOM,56.0,0.0,36,No
12498,EPX,Travel Agency,Online,Cancellation Plan,1,CANADA,19.0,0.0,45,No
29941,C2B,Airlines,Online,Bronze Plan,19,SINGAPORE,20.0,5.0,36,No
27538,C2B,Airlines,Online,Bronze Plan,33,SINGAPORE,13.5,3.38,34,No
28525,EPX,Travel Agency,Online,2 way Comprehensive Plan,9,SINGAPORE,27.0,0.0,35,No
26924,JZI,Airlines,Online,Basic Plan,39,PHILIPPINES,37.0,12.95,36,No
24761,EPX,Travel Agency,Online,Cancellation Plan,4,MALAYSIA,16.0,0.0,36,No
22640,JZI,Airlines,Online,Basic Plan,94,INDONESIA,22.0,7.7,44,No
4085,EPX,Travel Agency,Online,Cancellation Plan,16,MYANMAR,10.0,0.0,36,No
24701,EPX,Travel Agency,Online,2 way Comprehensive Plan,4,CHINA,36.0,0.0,53,No
25690,LWC,Travel Agency,Online,Annual Travel Protect Gold,410,UNITED STATES,256.2,166.53,58,No
